state_code,district_code,india/states,division,group,class,nic_name,main_workers_total_persons,main_workers_total_males,main_workers_total_females,main_workers_rural_persons,main_workers_rural_males,main_workers_rural_females,main_workers_urban_persons,main_workers_urban_males,main_workers_urban_females,marginal_workers_total_persons,marginal_workers_total_males,marginal_workers_total_females,marginal_workers_rural_persons,marginal_workers_rural_males,marginal_workers_rural_females,marginal_workers_urban_persons,marginal_workers_urban_males,marginal_workers_urban_females
12,000,STATE - ARUNACHAL PRADESH,06,062,0620,Extraction of natural gas,6,6,0,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,07,072,0729,Mining of other non-ferrous metal ores,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,08,081,0810,"Quarrying of stone, sand and clay",590,500,90,497,428,69,93,72,21,91,42,49,72,32,40,19,10,9
12,000,STATE - ARUNACHAL PRADESH,08,089,0891,Mining of chemical and fertilizer minerals,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,08,089,0899,Other mining and quarrying n.e.c.,90,73,17,70,56,14,20,17,3,6,5,1,4,4,0,2,1,1
12,000,STATE - ARUNACHAL PRADESH,09,091,0910,Support activities for petroleum and natural gas mining,11,11,0,10,10,0,1,1,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,09,099,0990,Support activities for other mining and quarrying,48,43,5,40,38,2,8,5,3,9,9,0,9,9,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,10,101,1010,Processing and preserving of meat,9,9,0,5,5,0,4,4,0,13,0,13,12,0,12,1,0,1
12,000,STATE - ARUNACHAL PRADESH,10,102,1020,"Processing and preserving of fish, crustaceans and molluscs and",1,1,0,1,1,0,0,0,0,6,6,0,6,6,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,10,103,1030,Processing and preserving of fruit and vegetables,146,112,34,84,54,30,62,58,4,58,43,15,40,26,14,18,17,1
12,000,STATE - ARUNACHAL PRADESH,10,104,1040,Manufacture of vegetable and animal oils and fats,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
12,000,STATE - ARUNACHAL PRADESH,10,105,1050,Manufacture of dairy products,156,109,47,116,83,33,40,26,14,65,26,39,54,18,36,11,8,3
12,000,STATE - ARUNACHAL PRADESH,10,106,1061,Manufacture of grain mill products,438,262,176,390,222,168,48,40,8,122,47,75,110,41,69,12,6,6
12,000,STATE - ARUNACHAL PRADESH,10,106,1062,Manufacture of starches and starch products,4,2,2,3,1,2,1,1,0,3,2,1,2,1,1,1,1,0
12,000,STATE - ARUNACHAL PRADESH,10,107,1071,Manufacture of bakery products,133,121,12,52,45,7,81,76,5,12,9,3,1,0,1,11,9,2
12,000,STATE - ARUNACHAL PRADESH,10,107,1072,Manufacture of sugar,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1
12,000,STATE - ARUNACHAL PRADESH,10,107,1073,"Manufacture of cocoa, chocolate and sugar confectionery",13,13,0,7,7,0,6,6,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,10,107,1074,"Manufacture of macaroni, noodles, couscous and similar farinaceous",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,10,107,1075,Manufacture of prepared meals and dishes,157,107,50,75,52,23,82,55,27,52,28,24,33,16,17,19,12,7
12,000,STATE - ARUNACHAL PRADESH,10,107,1079,Manufacture of other food products n.e.c.,292,204,88,240,172,68,52,32,20,41,23,18,17,8,9,24,15,9
12,000,STATE - ARUNACHAL PRADESH,11,110,1101,"Distilling, rectifying and blending of spirits; ethyl alcohol production",20,8,12,6,2,4,14,6,8,4,2,2,2,2,0,2,0,2
12,000,STATE - ARUNACHAL PRADESH,11,110,1102,Manufacture of wines,2,0,2,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2
12,000,STATE - ARUNACHAL PRADESH,11,110,1103,Manufacture of malt liquors and malt,3,3,0,0,0,0,3,3,0,2,0,2,0,0,0,2,0,2
12,000,STATE - ARUNACHAL PRADESH,11,110,1104,Manufacture of soft drinks; production of mineral waters and other,11,10,1,0,0,0,11,10,1,2,1,1,2,1,1,0,0,0
12,000,STATE - ARUNACHAL PRADESH,12,120,1200,Manufacture of tobacco products,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0
12,000,STATE - ARUNACHAL PRADESH,13,131,1311,Preparation and spinning of textile fibres,312,226,86,188,124,64,124,102,22,162,99,63,71,36,35,91,63,28
12,000,STATE - ARUNACHAL PRADESH,13,131,1312,Weaving of textiles,260,46,214,151,28,123,109,18,91,229,15,214,194,14,180,35,1,34
12,000,STATE - ARUNACHAL PRADESH,13,131,1313,Finishing of textiles,49,17,32,28,8,20,21,9,12,40,3,37,40,3,37,0,0,0
12,000,STATE - ARUNACHAL PRADESH,13,139,1391,Manufacture of knitted and crocheted fabrics,25,1,24,21,0,21,4,1,3,4,0,4,1,0,1,3,0,3
12,000,STATE - ARUNACHAL PRADESH,13,139,1392,"Manufacture of made-up textile articles, except apparel",62,51,11,16,10,6,46,41,5,3,1,2,3,1,2,0,0,0
12,000,STATE - ARUNACHAL PRADESH,13,139,1393,Manufacture of carpets and rugs,40,13,27,27,8,19,13,5,8,24,5,19,18,4,14,6,1,5
12,000,STATE - ARUNACHAL PRADESH,13,139,1394,"Manufacture of cordage, rope, twine and netting",2,1,1,2,1,1,0,0,0,4,3,1,4,3,1,0,0,0
12,000,STATE - ARUNACHAL PRADESH,13,139,1399,Manufacture of other textiles n.e.c.,25,9,16,13,3,10,12,6,6,12,0,12,9,0,9,3,0,3
12,000,STATE - ARUNACHAL PRADESH,14,141,1410,"Manufacture of wearing apparel, except fur apparel",867,771,96,326,281,45,541,490,51,99,62,37,60,39,21,39,23,16
12,000,STATE - ARUNACHAL PRADESH,14,142,1420,Manufacture of articles of fur,5,4,1,4,4,0,1,0,1,4,1,3,2,1,1,2,0,2
12,000,STATE - ARUNACHAL PRADESH,14,143,1430,Manufacture of knitted and crocheted apparel,5,3,2,2,1,1,3,2,1,14,0,14,14,0,14,0,0,0
12,000,STATE - ARUNACHAL PRADESH,15,151,1511,Tanning and dressing of leather; dressing and dyeing of fur,9,1,8,8,0,8,1,1,0,8,0,8,8,0,8,0,0,0
12,000,STATE - ARUNACHAL PRADESH,15,151,1512,"Manufacture of luggage, handbags and the like, saddlery and harness",7,4,3,3,0,3,4,4,0,2,1,1,0,0,0,2,1,1
12,000,STATE - ARUNACHAL PRADESH,15,152,1520,Manufacture of footwear,43,21,22,14,3,11,29,18,11,20,4,16,19,3,16,1,1,0
12,000,STATE - ARUNACHAL PRADESH,16,161,1610,Saw milling and planing of wood,714,615,99,422,347,75,292,268,24,174,151,23,150,140,10,24,11,13
12,000,STATE - ARUNACHAL PRADESH,16,162,1621,"Manufacture of veneer sheets; manufacture of plywood, laminboard,",418,337,81,148,104,44,270,233,37,11,5,6,0,0,0,11,5,6
12,000,STATE - ARUNACHAL PRADESH,16,162,1622,Manufacture of builders carpentry and joinery,21,21,0,17,17,0,4,4,0,13,13,0,13,13,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,16,162,1623,Manufacture of wooden containers,141,107,34,66,52,14,75,55,20,65,46,19,51,38,13,14,8,6
12,000,STATE - ARUNACHAL PRADESH,16,162,1629,"Manufacture of other products of wood; manufacture of articles of cork,",538,458,80,246,195,51,292,263,29,170,117,53,88,61,27,82,56,26
12,000,STATE - ARUNACHAL PRADESH,17,170,1701,"Manufacture of pulp, paper and paperboard",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,17,170,1702,Manufacture of corrugated paper and paperboard and containers of,11,9,2,8,6,2,3,3,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,17,170,1709,Manufacture of other articles of paper and paperboard,2,0,2,2,0,2,0,0,0,3,2,1,2,2,0,1,0,1
12,000,STATE - ARUNACHAL PRADESH,18,181,1811,Printing,40,32,8,1,1,0,39,31,8,1,1,0,0,0,0,1,1,0
12,000,STATE - ARUNACHAL PRADESH,18,181,1812,Service activities related to printing,48,38,10,2,2,0,46,36,10,5,3,2,2,2,0,3,1,2
12,000,STATE - ARUNACHAL PRADESH,19,191,1910,Manufacture of coke oven products,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,19,192,1920,Manufacture of refined petroleum products,77,77,0,66,66,0,11,11,0,11,7,4,9,7,2,2,0,2
12,000,STATE - ARUNACHAL PRADESH,20,201,2011,Manufacture of basic chemicals,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,20,202,2021,Manufacture of pesticides and other agrochemical products,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,20,202,2022,"Manufacture of paints, varnishes and similar coatings, printing ink and",7,5,2,3,2,1,4,3,1,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,20,202,2023,"Manufacture of soap and detergents, cleaning and polishing preparations,",29,28,1,11,10,1,18,18,0,3,1,2,1,1,0,2,0,2
12,000,STATE - ARUNACHAL PRADESH,20,202,2029,Manufacture of other chemical products n.e.c.,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,21,210,2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical",2,0,2,2,0,2,0,0,0,1,1,0,0,0,0,1,1,0
12,000,STATE - ARUNACHAL PRADESH,22,221,2211,Manufacture of rubber tyres and tubes; retreading and rebuilding of,41,41,0,26,26,0,15,15,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,22,221,2219,Manufacture of other rubber products,5,5,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,23,239,2391,Manufacture of refractory products,21,15,6,17,13,4,4,2,2,10,5,5,10,5,5,0,0,0
12,000,STATE - ARUNACHAL PRADESH,23,239,2392,Manufacture of clay building materials,4,4,0,3,3,0,1,1,0,2,0,2,1,0,1,1,0,1
12,000,STATE - ARUNACHAL PRADESH,23,239,2393,Manufacture of other porcelain and ceramic products,1,1,0,0,0,0,1,1,0,3,3,0,0,0,0,3,3,0
12,000,STATE - ARUNACHAL PRADESH,23,239,2394,"Manufacture of cement, lime and plaster",13,13,0,13,13,0,0,0,0,1,1,0,0,0,0,1,1,0
12,000,STATE - ARUNACHAL PRADESH,23,239,2395,"Manufacture of articles of concrete, cement and plaster",6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,23,239,2396,"Cutting, shaping and finishing of stone",37,28,9,36,27,9,1,1,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,23,239,2399,Manufacture of other non-metallic mineral products n.e.c.,14,13,1,12,12,0,2,1,1,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,24,241,2410,Manufacture of basic iron and steel,320,308,12,286,278,8,34,30,4,24,21,3,20,18,2,4,3,1
12,000,STATE - ARUNACHAL PRADESH,24,242,2420,Manufacture of basic precious and other non-ferrous metals,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,24,243,2431,Casting of iron and steel,28,24,4,23,19,4,5,5,0,5,0,5,5,0,5,0,0,0
12,000,STATE - ARUNACHAL PRADESH,25,251,2511,Manufacture of structural metal products,43,41,2,21,19,2,22,22,0,9,5,4,4,0,4,5,5,0
12,000,STATE - ARUNACHAL PRADESH,25,251,2512,"Manufacture of tanks, reservoirs and containers of metal",4,4,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0
